query,ground_truth,dataset,model,error,generation_answer,hit_rate,mrr,precision,ndcg,exact_match,rouge_l_f1,semantic_similarity,faithfulness,answer_relevancy,llm_quality_score
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,bge-base,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,1.0,0.587904691696167,1.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,bge-large,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,0.65,0.587904691696167,1.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,bge-small,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,0.53,0.587904691696167,1.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,granite,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,1.0,0.587904691696167,1.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,gte-small,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,1.0,0.587904691696167,5.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,harrier,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,1.0,0.587904691696167,5.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,jina,No module named 'custom_st',,,,,,,,,,,
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,minilm-l12,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,1.0,0.587904691696167,
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,mpnet,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,1.0,0.587904691696167,3.0
Which German luxury automaker is headquartered in Stuttgart and produces the S-Class?,Mercedes-Benz,cars,qwen3,,"Mercedes-Benz is a German luxury and commercial vehicle automaker headquartered in Stuttgart, Germany. Founded in 1926, the brand is renowned for the S-Class flagship sedan and its high-performance AMG division.",1.0,1.0,0.2,1.0,True,0.06451612903225806,0.7667204141616821,,0.587904691696167,
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,bge-base,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,1.0,0.6169227957725525,1.0
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,bge-large,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,0.13696,0.6169227957725525,1.0
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,bge-small,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,0.05,0.6169227957725525,1.0
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,granite,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,1.0,0.6169227957725525,
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,gte-small,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,1.0,0.6169227957725525,1.0
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,harrier,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,1.0,0.6169227957725525,2.0
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,jina,No module named 'custom_st',,,,,,,,,,,
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,minilm-l12,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,1.0,0.6169227957725525,5.0
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,mpnet,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,0.01,0.6169227957725525,
Which Italian automaker is known for its prancing horse logo and luxury sports cars?,Ferrari,cars,qwen3,,"Ferrari is an Italian luxury sports car manufacturer founded by Enzo Ferrari in 1939 and based in Maranello, Italy. It is famous worldwide for its prancing horse logo, iconic red cars, and dominant Formula One racing heritage.",1.0,1.0,0.2,1.0,True,0.052631578947368425,0.6870593428611755,1.0,0.6169227957725525,4.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,bge-base,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,5.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,bge-large,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,0.75,0.651511549949646,
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,bge-small,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,0.5,0.651511549949646,1.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,granite,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,1.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,gte-small,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,4.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,harrier,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,3.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,jina,No module named 'custom_st',,,,,,,,,,,
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,minilm-l12,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,5.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,mpnet,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,1.0
What American electric vehicle company was founded by Elon Musk?,Tesla,cars,qwen3,,"Tesla is an American electric vehicle and clean energy company founded in 2003 and headquartered in Austin, Texas. It is led by Elon Musk and known for the Model S, Model 3, and its advanced Autopilot driver-assistance system.",1.0,1.0,0.2,1.0,True,0.05128205128205127,0.6540436744689941,1.0,0.651511549949646,1.0
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,bge-base,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,0.3459,0.7071067690849304,1.0
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,bge-large,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,1.0,0.7071067690849304,1.0
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,bge-small,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,0.6,0.7071067690849304,1.0
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,granite,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,1.0,0.7071067690849304,1.0
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,gte-small,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,0.5,0.7071067690849304,
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,harrier,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,1.0,0.7071067690849304,4.0
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,jina,No module named 'custom_st',,,,,,,,,,,
"Which Japanese automaker produces the Corolla, one of the best-selling cars of all time?",Toyota,cars,minilm-l12,,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Japan. It is known for the Corolla, one of the best-selling car models in history, and for pioneering hybrid technology with the Prius.",1.0,1.0,0.2,1.0,True,0.05714285714285715,0.7219144105911255,0.999,0.7071067690849304,4.0
